Year,Names,Publisher,Country,Sales
1997,NFL Quarterback Club 98,Acclaim Entertainment,us,1.06
1997,Extreme-G,Acclaim Entertainment,us,0.59
1997,Croc: Legend of the Gobbos,Fox Interactive,us,3.56
1997,Independence Day,Fox Interactive,us,0.44
1997,Tomb Raider II,Eidos Interactive,uk,5.24
1997,Tomb Raider III: Adventures of Lara Croft,Eidos Interactive,uk,3.54
1997,Fighting Force,Eidos Interactive,uk,1.32
1997,TOCA Touring Car Championship,Codemasters,uk,2.28
1997,Micro Machines V3,Codemasters,uk,0.1
1997,Street Fighter EX Plus Alpha,Virgin Interactive,uk,0.75
1997,Command & Conquer: Red Alert,Virgin Interactive,uk,0.41
1997,Bloody Roar,Virgin Interactive,uk,0.39
1997,Mission: Impossible,Ocean,uk,1.69
1997,MRC: Multi-Racing Championship,Ocean,uk,0.25
1997,Jersey Devil,Ocean,uk,0.23
1997,Colony Wars,Psygnosis,uk,0.42
1997,Formula 1 Championship Edition,Psygnosis,uk,0.36
1997,G-Police,Psygnosis,uk,0.24
1997,Need for Speed: V-Rally,Infogrames,fr,0.87
1997,Automobili Lamborghini,Titus,fr,0.47
1997,F1 Pole Position 64,Ubisoft,fr,0.25
1997,VMX Racing,Playmates,hk,0.28
1997,Ballblazer Champions,CTO SpA,it,0.02
1998,Tekken 3,Sony Computer Entertainment,jp,7.16
1998,Crash Bandicoot 3: Warped,Sony Computer Entertainment,jp,7.13
1998,Spyro the Dragon,Sony Computer Entertainment,jp,5.0
1998,The Legend of Zelda: Ocarina of Time,Nintendo,jp,7.6
1998,Banjo-Kazooie,Nintendo,jp,3.66
1998,Mario Party,Nintendo,jp,2.7
1998,Metal Gear Solid,Konami Digital Entertainment,jp,6.03
1998,BeatMania,Konami Digital Entertainment,jp,1.16
1998,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,Konami Digital Entertainment,jp,0.81
1998,Parasite Eve,SquareSoft,jp,2.1
1998,Xenogears,SquareSoft,jp,1.46
1998,Brave Fencer Musashi,SquareSoft,jp,1.14
1998,R4: Ridge Racer Type 4,Namco Bandai Games,jp,2.06
1998,Pac-Man World,Namco Bandai Games,jp,1.5
1998,SD Gundam G Generation,Namco Bandai Games,jp,0.72
1998,Need for Speed III: Hot Pursuit,Electronic Arts,us,3.12
1998,FIFA 2000,Electronic Arts,us,1.87
1998,Madden NFL 2000,Electronic Arts,us,2.36
1998,WWF War Zone,Acclaim Entertainment,us,4.69
1998,WWF Attitude,Acclaim Entertainment,us,2.47
1998,South Park,Acclaim Entertainment,us,1.85
