Year,Publisher,Country,Sales
2012,505 Games,Italie,2.27
2012,Deep Silver,Allemagne,0.39
2012,Norvègerdic Games,Autriche,0.31
2013,Take-Two Interactive,USA,68.75
2013,Electronic Arts,USA,47.48
2013,Activision,USA,42.79
2013,Warner Bros. Interactive Entertainment,USA,16.13
2013,Disney Interactive Studios,USA,5.14
2013,Autres,USA,1.4600000000000002
2013,Ubisoft,France,24.72
2013,Focus Home Interactive,France,0.55
2013,Microsoft Game Studios,Suède,21.48
2013,Sony Computer Entertainment Europe,Royaume-Uni,13.04
2013,Codemasters,Royaume-Uni,1.64
2013,System 3,Royaume-Uni,0.17
2013,Nintendo,Japon,12.77
2013,Sony Computer Entertainment,Japon,11.79
2013,Square Enix,Japon,11.7
2013,Namco Bandai Games,Japon,4.69
2013,Konami Digital Entertainment,Japon,4.05
2013,Autres,Japon,11.169999999999996
2013,Deep Silver,Allemagne,5.43
2013,505 Games,Italie,2.81
2013,City Interactive,Pologne,0.57
2013,Norvègerdic Games,Autriche,0.06
2013,Moss,Norvège,0.01
2014,Activision,USA,41.06
2014,Electronic Arts,USA,40.91
2014,Warner Bros. Interactive Entertainment,USA,15.38
2014,Take-Two Interactive,USA,11.71
2014,Microsoft Game Studios,USA,7.42
2014,Autres,USA,14.31
2014,Ubisoft,France,40.35
2014,Focus Home Interactive,France,0.74
2014,Nintendo,Japon,17.86
2014,Sony Computer Entertainment,Japon,7.43
2014,Namco Bandai Games,Japon,7.15
2014,Konami Digital Entertainment,Japon,4.64
2014,Sega,Japon,3.65
2014,Autres,Japon,7.569999999999999
2014,Deep Silver,Allemagne,2.64
2014,505 Games,Italie,1.64
2014,Milestone S.r.l.,Italie,0.39
2014,Codemasters,Royaume-Uni,1.06
2014,Sony Computer Entertainment Europe,Royaume-Uni,0.33
2014,City Interactive,Pologne,0.12
2014,Norvègerdic Games,Autriche,0.11
2015,Electronic Arts,USA,44.31
2015,Activision,USA,34.24
2015,Warner Bros. Interactive Entertainment,USA,19.88
2015,Belgiquethesda Softworks,USA,14.61
2015,Take-Two Interactive,USA,13.62
2015,Autres,USA,14.599999999999998
2015,Nintendo,Japon,13.13
2015,Namco Bandai Games,Japon,10.31
2015,Sony Computer Entertainment,Japon,10.26
2015,Square Enix,Japon,7.69
2015,Konami Digital Entertainment,Japon,6.61
2015,Autres,Japon,4.28
2015,Ubisoft,France,11.85
2015,Biuken Interactive,France,0.7
2015,Focus Home Interactive,France,0.34
2015,Mojang,Suède,2.81
2015,Sony Computer Entertainment Europe,Royaume-Uni,1.64
2015,Slightly Mad Studios,Royaume-Uni,1.27
2015,Codemasters,Royaume-Uni,0.9
2015,PQuBelgique,Royaume-Uni,0.32
2015,ReBelgiquellion Developments,Royaume-Uni,0.3
2015,Autres,Royaume-Uni,0.07
2015,Koch Media,Autriche,1.41
2015,Norvègerdic Games,Autriche,0.35
2015,Milestone S.r.l.,Italie,0.7
2015,505 Games,Italie,0.17
2015,Kalypso Media,Allemagne,0.44
2015,Deep Silver,Allemagne,0.37
2015,TopWare Interactive,Allemagne,0.01
2015,TRussie Blu Entertainment,Australie,0.28
2016,Electronic Arts,USA,12.07
2016,Activision,USA,2.95
2016,Warner Bros. Interactive Entertainment,USA,2.95
2016,Take-Two Interactive,USA,2.62
2016,Belgiquethesda Softworks,USA,2.07
2016,Autres,USA,1.4000000000000001
2016,Ubisoft,France,9.07
2016,Focus Home Interactive,France,0.12
2016,Avanquest,France,0.04
2016,Microids,France,0.02
2016,Sony Computer Entertainment,Japon,6.56
2016,Namco Bandai Games,Japon,5.56
2016,Square Enix,Japon,2.16
2016,Nintendo,Japon,1.55
2016,Konami Digital Entertainment,Japon,1.04
2016,Autres,Japon,2.7299999999999995
2016,Hello Games,Royaume-Uni,1.6
2016,Codemasters,Royaume-Uni,0.79
2016,PQuBelgique,Royaume-Uni,0.19
2016,Alternative Software,Royaume-Uni,0.11
2016,Introversion Software,Royaume-Uni,0.02
2016,Autres,Royaume-Uni,0.05
2016,Deep Silver,Allemagne,0.78
2016,UIG Entertainment,Allemagne,0.01
2016,505 Games,Italie,0.41
2016,Milestone S.r.l.,Italie,0.18
2016,Koch Media,Autriche,0.01
