Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Breeding Stud 2,PS,1998,Konami Digital Entertainment,0.04,0.04
Dead Ball Zone,PS,1998,GT Interactive,0.04,0.04
NBA In The Zone '99,N64,1998,Konami Digital Entertainment,0.04,0.04
Deadly Arts,N64,1998,Konami Digital Entertainment,0.04,0.04
Point Blank 2,PS,1998,Namco Bandai Games,0.04,0.04
Warhammer: Dark Omen,PS,1998,Electronic Arts,0.04,0.04
Rhapsody: A Musical Adventure,PS,1998,Nippon Ichi Software,0.04,0.04
Radiant Silvergun,SAT,1998,ESP,0.03,0.03
Trap Gunner: Countdown to Oblivion,PS,1998,Konami Digital Entertainment,0.03,0.03
Tail Concerto,PS,1998,Namco Bandai Games,0.03,0.03
Madou Monogatari,SAT,1998,Compile,0.03,0.03
Highschool Terra Story,SAT,1998,KID,0.03,0.03
MotorHead,PS,1998,Gremlin Interactive Ltd,0.03,0.03
Starshot: Space Circus Fever,N64,1998,Infogrames,0.03,0.03
Big Mountain 2000,N64,1998,Imagineer,0.03,0.03
Nectaris: Military Madness,PS,1998,Hudson Soft,0.03,0.03
Timeshock! Pro Pinball,PS,1998,Empire Interactive,0.03,0.03
R-Type Delta,PS,1998,Irem Software Engineering,0.03,0.03
Bomberman Fantasy Race,PS,1998,Virgin Interactive,0.02,0.02
Shanghai: True Valor,PS,1998,Activision,0.02,0.02
Code R,SAT,1998,Quintet,0.02,0.02
Adidas Power Soccer 98,PS,1998,Psygnosis,0.02,0.02
Rising Zan: The Samurai Gunman,PS,1998,Agetec,0.02,0.02
Irritating Stick,PS,1998,Saurus,0.02,0.02
