Name,Platform,Year,Publisher,Global_Sales,Total_Sales
Dragon Warrior III,NES,1988,Enix Corporation,3.87,3.87
Sports Champions,PS3,2010,Sony Computer Entertainment,3.87,3.87
NBA 2K16,MULTI,2015,Take-Two Interactive,3.85,7.9399999999999995
World Soccer Winning Eleven 8 International,MULTI,2004,Konami Digital Entertainment,3.85,3.94
Namco Museum Vol.1,PS,1995,Sony Computer Entertainment,3.84,3.84
Big Brain Academy: Wii Degree,Wii,2007,Nintendo,3.82,3.82
Batman: Arkham Knight,MULTI,2015,Warner Bros. Interactive Entertainment,3.79,5.24
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sega,3.78,3.78
LEGO Indiana Jones: The Original Adventures,MULTI,2008,Activision,3.78,8.6
Resident Evil Director's Cut,MULTI,1996,Virgin Interactive,3.77,3.81
Just Dance 2014,MULTI,2013,Ubisoft,3.76,6.58
Super Paper Mario,Wii,2007,Nintendo,3.76,3.76
Harry Potter and the Sorcerer's Stone,MULTI,2001,Electronic Arts,3.73,4.16
The Witcher 3: Wild Hunt,MULTI,2015,Namco Bandai Games,3.73,4.97
Resident Evil 3: Nemesis,MULTI,1999,Eidos Interactive,3.72,3.8000000000000003
Spyro: Year of the Dragon,PS,2000,Sony Computer Entertainment,3.71,3.71
FIFA Soccer 2005,MULTI,2004,Electronic Arts,3.7,4.8100000000000005
Battlefield 4,MULTI,2013,Electronic Arts,3.69,12.629999999999999
Tony Hawk's Pro Skater 4,MULTI,2002,Activision,3.67,5.18
Banjo-Kazooie,MULTI,1998,Nintendo,3.65,3.6599999999999997
SOCOM: U.S. Navy SEALs,PS2,2002,Sony Computer Entertainment,3.65,3.65
Guitar Hero: World Tour,MULTI,2008,Activision,3.65,10.05
Gran Turismo 6,PS3,2013,Sony Computer Entertainment,3.64,3.64
Jak and Daxter: The Precursor Legacy,PS2,2001,Sony Computer Entertainment,3.64,3.64
Pokemon Snap,N64,1999,Nintendo,3.63,3.63
FIFA Soccer 10,MULTI,2009,Electronic Arts,3.63,8.94
Pro Evolution Soccer 2008,MULTI,2007,Konami Digital Entertainment,3.63,7.48
Resident Evil 4,MULTI,2005,Capcom,3.62,7.57
Tom Clancy's The Division,MULTI,2016,Ubisoft,3.61,5.619999999999999
Star Wars: Battlefront,MULTI,2004,LucasArts,3.61,5.359999999999999
The Simpsons: Road Rage,MULTI,2001,Electronic Arts,3.61,4.9
Luigi's Mansion,GC,2001,Nintendo,3.6,3.6
Star Wars: Battlefront II,MULTI,2005,LucasArts,3.59,5.26
WWF SmackDown!,PS,2000,THQ,3.58,3.58
Croc: Legend of the Gobbos,PS,1997,Fox Interactive,3.56,3.56
Grand Theft Auto: Liberty City Stories,PS2,2006,Take-Two Interactive,3.54,3.54
The Getaway,PS2,2002,Sony Computer Entertainment,3.54,3.54
Tomb Raider III: Adventures of Lara Croft,PS,1997,Eidos Interactive,3.54,3.54
James Bond 007: Agent Under Fire,MULTI,2001,Electronic Arts,3.53,5.1499999999999995
LEGO Star Wars: The Video Game,MULTI,2005,Eidos Interactive,3.53,6.1
Rugrats in Paris: The Movie,MULTI,2000,THQ,3.52,4.02
Spyro 2: Ripto's Rage!,PS,1999,Sony Computer Entertainment,3.52,3.52
Left 4 Dead,X360,2008,Electronic Arts,3.52,3.52
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Nintendo,3.51,3.51
Assassin's Creed: Brotherhood,MULTI,2010,Ubisoft,3.5,6.34
Kung Fu,NES,1985,Nintendo,3.5,3.5
FIFA Soccer 2004,MULTI,0,Electronic Arts,3.49,4.3500000000000005
Battlefield: Bad Company 2,MULTI,2010,Electronic Arts,3.48,6.45
Far Cry 3,MULTI,2012,Ubisoft,3.45,6.49
Borderlands,MULTI,2009,Take-Two Interactive,3.44,5.55
Tekken 4,PS2,2002,Namco Bandai Games,3.44,3.44
LittleBigPlanet 2,PS3,2011,Sony Computer Entertainment,3.42,3.42
Grand Theft Auto 2,PS,1998,Take-Two Interactive,3.42,3.42
Final Fantasy III,MULTI,1994,SquareSoft,3.42,4.82
Spider-Man 2,MULTI,2004,Activision,3.41,5.37
FIFA Soccer 2003,MULTI,2002,Electronic Arts,3.4,4.11
Crash Bash,PS,2000,Sony Computer Entertainment,3.39,3.39
LEGO Batman: The Videogame,MULTI,2008,Warner Bros. Interactive Entertainment,3.38,9.14
Metal Gear Solid V: The Phantom Pain,MULTI,2015,Konami Digital Entertainment,3.38,5.0
WWF War Zone,MULTI,1998,Acclaim Entertainment,3.36,4.6899999999999995
The Legend of Zelda: Majora's Mask,N64,2000,Nintendo,3.36,3.36
Rugrats: Search For Reptar,PS,1998,THQ,3.34,3.34
James Bond 007: Nightfire,MULTI,2002,Electronic Arts,3.33,4.93
Ratchet & Clank,PS2,2002,Sony Computer Entertainment,3.33,3.33
Mario Party 9,Wii,2012,Nintendo,3.32,3.32
Star Wars Episode III: Revenge of the Sith,MULTI,2005,LucasArts,3.32,4.56
Max Payne,MULTI,2001,Take-Two Interactive,3.31,4.53
The Lord of the Rings: The Return of the King,MULTI,2003,Electronic Arts,3.28,5.109999999999999
Assassin's Creed Syndicate,MULTI,2015,Ubisoft,3.28,4.56
True Crime: Streets of LA,MULTI,2003,Activision,3.27,5.21
Wii Music,Wii,2008,Nintendo,3.27,3.27
Tekken,PS,1995,Sony Computer Entertainment,3.24,3.24
L.A. Noire,MULTI,2011,Take-Two Interactive,3.23,5.95
Madden NFL 16,MULTI,2015,Electronic Arts,3.22,7.42
007: Tomorrow Never Dies,PS,1999,Electronic Arts,3.21,3.21
Baseball,NES,1983,Nintendo,3.2,3.2
Killer Instinct,SNES,1995,Nintendo,3.2,3.2
WWF SmackDown! 2: Know Your Role,PS,2000,THQ,3.2,3.2
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Enix Corporation,3.19,3.19
Dance Central,X360,2010,MTV Games,3.19,3.19
Enter the Matrix,MULTI,2003,Atari,3.18,4.83
Super Mario Maker,WiiU,2015,Nintendo,3.18,3.18
Ace Combat 04: Shattered Skies,PS2,2001,Sony Computer Entertainment Europe,3.17,3.17
Animal Crossing,GC,2001,Nintendo,3.15,3.15
Resident Evil 6,MULTI,2012,Capcom,3.15,5.24
Halo: The Master Chief Collection,XOne,2014,Microsoft Game Studios,3.15,3.15
FIFA Soccer 08,MULTI,2007,Electronic Arts,3.14,7.2700000000000005
Spider-Man,MULTI,2000,Activision,3.13,4.59
Need for Speed III: Hot Pursuit,PS,1998,Electronic Arts,3.12,3.12
Star Wars Episode I Racer,N64,1999,Nintendo,3.12,3.12
Dragon Warrior IV,NES,1990,Enix Corporation,3.12,3.12
Heavy Rain,PS3,2010,Sony Computer Entertainment,3.12,3.12
Mass Effect 2,MULTI,2010,Electronic Arts,3.11,4.59
Dragon Ball Z: Budokai,MULTI,2002,Atari,3.09,3.78
Madden NFL 2002,MULTI,2001,Electronic Arts,3.08,6.09
World Class Track Meet,NES,1986,Namco Bandai Games,3.08,3.08
Borderlands 2,MULTI,2012,Take-Two Interactive,3.07,5.35
Mass Effect 3,MULTI,2012,Electronic Arts,3.07,4.81
Kung Fu Panda,MULTI,2008,Activision,3.05,5.14
Epic Mickey,Wii,2010,Disney Interactive Studios,3.04,3.04
Saints Row 2,MULTI,2008,THQ,3.03,4.72
Rayman,PS,1995,Ubisoft,3.03,3.03
Killzone 2,PS3,2009,Sony Computer Entertainment,3.02,3.02
Tom Clancy's Splinter Cell,MULTI,2002,Ubisoft,3.02,5.9
Mike Tyson's Punch-Out!!,NES,1987,Nintendo,3.02,3.02
